Chinese name,Binomial nomenclature,cites II,RFMOS,areas,
鯨鯊,Rhincodon typus,是,我國自發性禁捕,禁捕物種,Whale shark
污斑白眼鮫 (花鯊) ,Carcharhinus longimanus,是 (已生效),ICCAT,"大西洋
禁捕物種",
平滑白眼鮫 (黑鯊) ,"
Carcharhinus falciformis",是 (2017年10月4日生效),ICCAT,"大西洋
禁捕物種",
淺海狐鮫 ,Alopias pelagicus,是 (2017年10月4日生效),ICCAT,"大西洋
禁捕物種",
狐鮫 ,Alopias valpinus,是 (2017年10月4日生效),ICCAT,"大西洋
禁捕物種",
深海狐鮫 ,Alopias superciliosus,是 (2017年10月4日生效),ICCAT,"大西洋
禁捕物種",
八鰭ㄚ髻鮫 ,Sphyrna mokarran,是 (已生效),ICCAT,"大西洋
禁捕物種",
丁字雙髻鯊 ,Eusphyra blochii,是 (已生效),ICCAT,"大西洋
禁捕物種",
紅肉ㄚ髻鮫 ,Sphyrna lewini,是 (已生效),ICCAT,"大西洋
禁捕物種",
ㄚ髻鮫 ,Sphyrna zygaena,是 (已生效),ICCAT,"大西洋
禁捕物種",
污斑白眼鮫(花鯊) ,Carcharhinus longimanus,是 (已生效),IATTC,"東太平洋
禁捕物種",
蝠魟屬及鬼蝠魟屬物種,"
Mobula spp. and Manta spp.",是 (蝠魟屬2017年10月4日生效),IATTC,"東太平洋
禁捕物種",
污斑白眼鮫(花鯊) ,Carcharhinus longimanus,是 (已生效),WCPFC,"中西太平洋
禁捕物種",
平滑白眼鮫(黑鯊) ,Carcharhinus falciformis,是 (2017年10月4日生效),WCPFC,"中西太平洋
禁捕物種",
污斑白眼鮫(花鯊),Carcharhinus longimanus,是 (已生效),IOTC,"印度洋
禁捕物種",
淺海狐鮫,Carcharhinus falciformis,是 (2017年10月4日生效),IOTC,"印度洋
禁捕物種",
狐鮫 ,Alopias valpinus,是 (2017年10月4日生效),IOTC,"印度洋
禁捕物種",
深海狐鮫,Alopias superciliosus,是 (2017年10月4日生效),IOTC,"印度洋
禁捕物種",
